Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
285,Guerschon Yabusele,30,2TM,C,62,14,883,11.3,.550,.628,.230,6.1,18.9,12.5,8.4,1.3,1.5,10.8,15.9,0.5,0.9,1.4,.075,-1.5,-0.3,-1.8,0.1,,yabusgu01
285,Guerschon Yabusele,30,NYK,C,41,0,366,8.6,.499,.636,.112,7.2,19.3,13.2,6.4,0.8,1.4,11.8,14.8,0.0,0.4,0.4,.056,-3.2,-0.6,-3.8,-0.2,,yabusgu01
285,Guerschon Yabusele,30,CHI,C,21,14,517,13.3,.582,.623,.309,5.2,18.7,12.0,9.8,1.7,1.5,10.2,16.6,0.5,0.5,1.0,.089,-0.3,-0.1,-0.3,0.2,,yabusgu01
286,Aaron Gordon,30,DEN,PF,32,29,882,19.3,.624,.384,.426,6.3,17.4,12.1,13.3,1.1,0.9,7.4,22.7,2.2,0.7,2.9,.158,3.3,-1.2,2.0,0.9,,gordoaa01
287,Cam Thomas,24,2TM,SG,42,8,881,12.6,.530,.364,.367,1.4,8.0,4.6,20.9,0.5,0.4,12.1,30.3,-0.5,0.1,-0.4,-0.021,-1.2,-4.0,-5.1,-0.7,,thomaca02
287,Cam Thomas,24,BRK,SG,24,8,582,12.3,.527,.380,.351,1.7,7.2,4.3,22.4,0.3,0.3,11.9,30.2,-0.2,0.0,-0.2,-0.017,-0.8,-4.2,-5.0,-0.4,,thomaca02
287,Cam Thomas,24,MIL,SG,18,0,299,13.2,.534,.333,.399,0.8,9.8,5.3,18.2,0.8,0.7,12.6,30.5,-0.2,0.1,-0.2,-0.029,-2.0,-3.4,-5.4,-0.3,,thomaca02
288,Bryce McGowens,23,NOP,SG,42,13,880,11.8,.610,.392,.401,1.5,9.4,5.4,9.5,1.5,1.0,5.7,14.1,1.4,0.3,1.7,.095,-2.0,-0.9,-2.9,-0.2,,mcgowbr01
289,Jordan Poole,26,NOP,PG,37,6,873,11.2,.524,.650,.255,1.0,8.0,4.5,18.4,1.1,1.5,11.9,24.9,0.0,0.2,0.2,.009,-1.0,-2.5,-3.5,-0.3,,poolejo01
290,Caleb Martin,30,DAL,SF,58,12,856,9.4,.526,.302,.323,3.5,14.1,8.9,12.4,2.2,1.5,15.6,12.5,-0.1,1.0,0.9,.051,-4.0,1.7,-2.2,0.0,,martica02
291,Jalen Williams,24,OKC,SG,30,30,855,18.8,.556,.176,.287,3.0,13.6,8.6,28.9,2.0,1.0,10.9,26.6,1.1,1.5,2.7,.150,1.1,0.9,2.0,0.9,,willija06
292,Trendon Watford,25,PHI,PF,50,7,849,13.0,.567,.189,.283,4.8,17.7,11.2,21.7,0.9,2.3,17.2,17.9,0.6,0.7,1.3,.074,-2.2,0.1,-2.1,0.0,,watfotr01
