Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
358,Aaron Holiday,29,HOU,PG,49,1,13.5,1.9,4.6,.406,1.2,3.0,.388,0.7,1.6,.442,.533,0.7,0.8,.865,0.2,0.8,0.9,1.0,0.4,0.1,0.7,1.3,5.5,,holidaa01
359,Spencer Jones,24,DEN,SF,64,37,22.1,2.1,4.1,.504,0.9,2.3,.396,1.2,1.8,.636,.613,0.5,0.8,.608,1.2,2.1,3.3,0.8,0.8,0.5,0.5,2.7,5.5,,jonessp01
360,Yves Missi,21,NOP,C,63,12,19.3,2.3,4.3,.536,0.0,0.0,.000,2.3,4.3,.538,.536,0.8,1.5,.558,2.7,3.0,5.7,1.3,0.3,1.5,0.8,1.7,5.5,,missiyv01
361,John Poulakidas,22,DAL,SG,6,0,14.3,1.8,4.8,.379,1.5,4.2,.360,0.3,0.7,.500,.534,0.3,0.3,1.000,0.5,1.8,2.3,0.5,0.5,0.0,0.3,2.2,5.5,,poulajo01
362,Matisse Thybulle,28,POR,SG,24,0,14.3,1.8,4.1,.434,1.1,2.8,.403,0.7,1.3,.500,.571,0.8,0.9,.857,0.5,1.5,2.0,0.8,1.8,0.5,0.9,1.5,5.5,,thybuma01
363,Nae'Qwan Tomlin,25,CLE,PF,59,2,15.1,2.2,4.7,.471,0.3,1.7,.204,1.9,3.0,.618,.507,0.7,0.9,.750,1.2,1.4,2.7,0.7,0.7,0.5,0.4,1.9,5.5,,tomlina01
364,Rob Dillingham,21,2TM,PG,58,0,13.7,2.2,5.7,.380,0.5,1.8,.304,1.6,4.0,.413,.426,0.5,0.7,.763,0.3,1.4,1.7,2.2,0.7,0.1,1.3,1.7,5.4,,dilliro01
364,Rob Dillingham,21,MIN,PG,35,0,9.3,1.3,4.0,.333,0.3,0.9,.364,1.0,3.1,.324,.376,0.4,0.6,.750,0.1,1.0,1.2,1.7,0.5,0.1,1.0,1.0,3.5,,dilliro01
364,Rob Dillingham,21,CHI,PG,23,0,20.3,3.4,8.3,.414,0.8,3.0,.275,2.6,5.3,.492,.463,0.6,0.8,.778,0.5,2.1,2.6,2.9,1.0,0.1,1.8,2.8,8.3,,dilliro01
365,Seth Curry,35,GSW,SG,5,0,11.8,2.0,3.6,.556,0.8,1.6,.500,1.2,2.0,.600,.667,0.6,0.6,1.000,0.6,0.8,1.4,1.4,0.4,0.0,0.0,0.8,5.4,,curryse01
