Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
409,Jamal Cain,26,ORL,SF,32,1,10.1,1.5,3.3,.439,0.6,1.6,.373,0.9,1.8,.500,.528,0.8,0.9,.857,0.6,1.0,1.6,0.6,0.2,0.1,0.5,1.2,4.3,,cainja01
410,Yanic Konan Niederhäuser,22,LAC,C,41,0,10.3,1.6,2.4,.640,0.0,0.1,.200,1.5,2.3,.663,.645,1.1,1.5,.758,0.9,2.0,2.9,0.3,0.1,0.7,0.6,1.6,4.3,,konanya01
411,Skal Labissière,29,WAS,PF,3,0,12.7,2.0,3.3,.600,0.3,1.7,.200,1.7,1.7,1.000,.650,0.0,0.0,,1.0,2.0,3.0,1.0,0.7,0.3,0.3,1.0,4.3,,labissk01
412,Dereck Lively II,21,DAL,C,7,4,16.4,1.6,2.6,.611,0.0,0.0,,1.6,2.6,.611,.611,1.1,1.4,.800,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,4.3,,livelde01
413,Grant Nelson,23,BRK,PF,4,0,8.8,1.3,2.3,.556,0.0,0.0,,1.3,2.3,.556,.556,1.8,2.5,.700,0.3,1.3,1.5,1.3,0.3,1.3,1.0,1.5,4.3,,nelsogr02
414,Jericho Sims,27,MIL,C,59,14,18.2,1.9,2.4,.827,0.0,0.0,,1.9,2.4,.827,.827,0.4,0.7,.605,1.9,3.2,5.0,1.2,0.2,0.2,1.1,1.9,4.3,,simsje01
415,DaRon Holmes,23,DEN,PF,21,6,9.4,1.4,2.8,.517,0.9,2.0,.452,0.5,0.8,.688,.681,0.4,0.5,.818,0.3,1.1,1.4,0.8,0.0,0.2,0.5,0.9,4.2,,holmeda01
416,Noah Penda,21,ORL,SF,54,2,13.6,1.5,3.7,.414,0.6,1.6,.337,1.0,2.0,.477,.490,0.6,0.9,.688,1.2,2.2,3.4,1.2,0.6,0.3,0.8,1.3,4.2,,pendano01
417,Nicolas Batum,37,LAC,PF,69,6,18.1,1.3,3.3,.398,1.3,3.2,.398,0.1,0.1,.400,.589,0.1,0.2,.818,0.3,2.3,2.6,0.9,0.7,0.3,0.5,1.4,4.1,,batumni01
418,Mike Conley,38,MIN,PG,50,12,18.0,1.2,3.8,.307,0.9,2.9,.299,0.3,0.9,.333,.422,0.8,0.9,.891,0.3,1.4,1.7,3.0,0.6,0.3,0.6,1.4,4.1,,conlemi01
419,Rasheer Fleming,21,PHO,PF,49,0,11.7,1.5,3.8,.402,0.8,2.2,.345,0.7,1.5,.486,.505,0.3,0.6,.571,1.1,1.2,2.3,0.2,0.4,0.4,0.4,1.1,4.1,,flemira01
420,Kam Jones,23,IND,SG,30,7,15.4,1.7,4.1,.415,0.6,1.8,.309,1.1,2.3,.500,.484,0.1,0.3,.500,0.3,1.1,1.4,2.7,0.5,0.0,0.9,1.0,4.1,,joneska03
421,Dalton Knecht,24,LAL,SF,49,1,10.5,1.6,3.6,.446,0.6,2.1,.304,1.0,1.5,.644,.534,0.3,0.4,.700,0.3,1.1,1.4,0.3,0.2,0.2,0.4,0.8,4.1,,knechda01
422,Terrence Shannon Jr.,25,MIN,SG,36,1,11.3,1.3,3.2,.409,0.6,1.4,.404,0.7,1.8,.413,.500,0.9,1.2,.762,0.3,0.8,1.1,0.7,0.3,0.0,0.5,1.2,4.1,,shannte01
423,RayJ Dennis,24,3TM,PG,16,0,11.3,1.4,4.6,.301,0.8,2.4,.308,0.6,2.1,.294,.384,0.5,0.6,.889,0.5,0.9,1.4,1.9,0.3,0.3,0.9,1.1,4.0,,dennira01
423,RayJ Dennis,24,IND,PG,13,0,12.9,1.7,5.5,.306,0.9,2.9,.316,0.8,2.6,.294,.389,0.6,0.7,.889,0.6,1.0,1.6,2.0,0.2,0.3,1.1,1.2,4.9,,dennira01
423,RayJ Dennis,24,LAC,PG,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,dennira01
423,RayJ Dennis,24,ATL,PG,2,0,4.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.5,0.0,,dennira01
424,Tony Bradley,28,IND,C,38,3,10.9,1.6,2.8,.557,0.0,0.1,.500,1.5,2.7,.558,.561,0.8,1.1,.744,1.5,1.3,2.8,0.5,0.2,0.2,0.4,1.6,4.0,,bradlto01
425,Brandon Clarke,29,MEM,PF,2,2,10.0,1.5,4.5,.333,0.0,0.0,,1.5,4.5,.333,.333,1.0,2.0,.500,2.0,1.0,3.0,0.5,1.0,0.0,0.0,2.5,4.0,,clarkbr01
426,Taj Gibson,40,MEM,C,7,0,9.3,1.4,2.6,.556,0.4,0.7,.600,1.0,1.9,.538,.639,0.7,0.9,.833,0.9,1.3,2.1,0.6,0.3,0.1,0.1,1.4,4.0,,gibsota01
427,Hugo González,19,BOS,SF,70,3,15.0,1.6,3.4,.471,0.6,1.6,.357,1.0,1.8,.571,.555,0.2,0.4,.500,0.9,2.5,3.4,0.6,0.6,0.3,0.5,1.7,4.0,,gonzahu01
428,John Konchar,29,2TM,SG,50,7,18.6,1.5,3.2,.481,0.5,1.7,.277,1.1,1.5,.707,.554,0.4,0.6,.710,1.1,2.7,3.8,1.7,1.3,0.6,0.5,1.4,3.9,,konchjo01
428,John Konchar,29,MEM,SG,30,1,14.5,1.2,2.4,.521,0.4,1.3,.333,0.8,1.1,.750,.613,0.3,0.4,.615,0.7,2.4,3.1,1.3,1.0,0.4,0.5,1.0,3.2,,konchjo01
428,John Konchar,29,UTA,SG,20,6,24.7,2.0,4.4,.448,0.5,2.2,.227,1.5,2.2,.674,.506,0.7,0.9,.778,1.7,3.2,4.8,2.2,1.7,0.9,0.7,1.9,5.1,,konchjo01
429,Carter Bryant,20,SAS,PF,64,0,10.8,1.4,3.6,.391,0.7,2.1,.316,0.8,1.5,.495,.483,0.4,0.6,.711,0.5,2.0,2.4,0.5,0.2,0.3,0.4,1.2,3.9,,bryanca01
430,Myron Gardner,24,MIA,SF,41,7,9.6,1.4,2.9,.479,0.6,1.6,.406,0.8,1.3,.564,.588,0.5,0.6,.731,0.9,1.9,2.9,1.0,0.5,0.2,0.4,1.8,3.9,,gardnmy01
431,Jordan Hawkins,23,NOP,SG,46,0,12.3,1.4,4.2,.330,0.8,2.4,.315,0.6,1.8,.349,.420,0.3,0.4,.800,0.3,1.2,1.5,0.7,0.2,0.2,0.5,0.5,3.9,,hawkijo01
432,A.J. Lawson,25,TOR,SG,16,0,8.4,1.3,3.0,.438,0.8,1.8,.429,0.6,1.3,.450,.563,0.6,0.6,1.000,0.4,1.3,1.7,0.3,0.4,0.2,0.3,1.2,3.9,,lawsoaj01
433,Caleb Martin,30,DAL,SF,58,12,14.8,1.5,3.3,.450,0.3,1.0,.351,1.1,2.3,.492,.503,0.6,1.1,.607,0.5,2.0,2.5,1.4,0.7,0.3,0.7,1.5,3.9,,martica02
434,Taelon Peter,23,IND,SG,31,0,11.2,1.4,3.6,.375,1.0,3.1,.320,0.4,0.5,.733,.513,0.2,0.4,.538,0.2,1.2,1.4,1.0,0.5,0.1,0.6,0.7,3.9,,peterta01
435,Jaylen Clark,24,MIN,SG,63,0,12.4,1.4,3.2,.432,0.4,1.3,.310,1.0,1.8,.522,.497,0.7,1.1,.657,0.8,1.0,1.8,0.5,0.6,0.1,0.3,1.2,3.8,,clarkja02
436,Micah Peavy,24,NOP,SG,55,1,13.2,1.6,4.2,.377,0.4,1.7,.231,1.2,2.5,.471,.422,0.2,0.3,.684,0.7,1.0,1.8,0.9,0.6,0.1,0.3,1.3,3.8,,peavymi01
437,Patrick Baldwin Jr.,23,3TM,SF,9,1,11.3,1.2,3.0,.407,0.7,1.6,.429,0.6,1.4,.385,.519,0.6,0.8,.714,1.3,1.2,2.6,0.6,0.3,0.6,0.6,1.7,3.7,,baldwpa01
437,Patrick Baldwin Jr.,23,LAC,SF,2,0,6.0,1.5,2.0,.750,1.0,1.5,.667,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,5.0,,baldwpa01
437,Patrick Baldwin Jr.,23,PHI,SF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,baldwpa01
437,Patrick Baldwin Jr.,23,SAC,SF,6,1,14.7,1.3,3.8,.348,0.7,1.8,.364,0.7,2.0,.333,.435,0.5,0.8,.600,2.0,1.5,3.5,0.8,0.5,0.8,0.7,2.2,3.8,,baldwpa01
438,Dalen Terry,23,2TM,SG,47,0,11.6,1.4,3.3,.435,0.5,1.4,.364,0.9,1.9,.489,.513,0.3,0.6,.552,0.5,1.3,1.8,1.4,0.6,0.3,0.6,1.0,3.7,,terryda01
438,Dalen Terry,23,CHI,SG,34,0,11.1,1.3,3.0,.441,0.6,1.4,.413,0.8,1.6,.464,.534,0.3,0.5,.529,0.6,1.3,1.9,1.3,0.6,0.3,0.6,1.0,3.5,,terryda01
438,Dalen Terry,23,PHI,SG,13,0,13.0,1.7,4.0,.423,0.4,1.5,.250,1.3,2.5,.531,.471,0.5,0.9,.583,0.5,1.1,1.5,1.8,0.5,0.3,0.4,1.2,4.3,,terryda01
439,Clint Capela,31,HOU,C,67,2,12.5,1.6,3.0,.515,0.0,0.0,,1.6,3.0,.515,.515,0.6,1.0,.597,2.1,2.5,4.7,0.7,0.5,0.9,0.6,1.0,3.7,,capelca01
440,Moussa Cisse,23,DAL,C,34,1,12.5,1.4,2.4,.590,0.0,0.0,,1.4,2.4,.590,.590,0.9,1.9,.439,2.0,2.9,4.9,0.2,0.4,1.1,0.7,1.8,3.7,,cissemo01
441,Keshad Johnson,24,MIA,SF,27,0,7.8,1.3,3.0,.439,0.4,1.4,.316,0.9,1.6,.545,.512,0.6,0.9,.680,0.7,1.1,1.9,0.1,0.4,0.3,0.4,0.8,3.7,,johnske10
442,Zeke Nnaji,25,DEN,PF,49,3,11.9,1.3,2.9,.471,0.3,1.0,.265,1.1,1.9,.582,.518,0.7,0.9,.773,0.6,2.0,2.6,0.5,0.3,0.4,0.5,1.3,3.7,,nnajize01
443,Mohamed Diawara,20,NYK,SF,64,6,8.9,1.3,3.0,.431,0.8,1.9,.400,0.6,1.2,.480,.554,0.2,0.3,.706,0.2,1.1,1.4,0.7,0.2,0.1,0.4,0.7,3.6,,diawamo01
444,Ron Harper Jr.,25,BOS,SF,25,2,10.5,1.3,3.2,.407,0.9,2.5,.349,0.4,0.7,.611,.543,0.0,0.1,.500,0.6,1.0,1.6,0.6,0.2,0.4,0.2,0.8,3.6,,harpero02
445,Tolu Smith,25,DET,PF,12,0,9.8,1.2,2.3,.500,0.0,0.0,,1.2,2.3,.500,.500,1.3,1.8,.682,1.6,2.0,3.6,0.9,0.2,0.5,0.6,1.6,3.6,,smithto05
446,Keaton Wallace,26,ATL,PG,49,2,10.0,1.3,3.1,.418,0.8,1.9,.402,0.6,1.2,.443,.539,0.2,0.3,.643,0.1,1.0,1.0,1.7,0.4,0.1,0.5,0.9,3.6,,wallake01
447,Trayce Jackson-Davis,25,2TM,C,49,1,9.8,1.4,2.4,.567,0.0,0.0,1.000,1.4,2.4,.563,.571,0.7,1.4,.514,1.3,1.6,2.8,0.8,0.3,0.5,0.4,0.9,3.5,,jackstr02
447,Trayce Jackson-Davis,25,GSW,C,36,1,11.4,1.7,2.8,.588,0.0,0.0,1.000,1.6,2.8,.584,.593,0.8,1.4,.558,1.3,1.8,3.1,0.9,0.4,0.5,0.5,1.1,4.2,,jackstr02
447,Trayce Jackson-Davis,25,TOR,C,13,0,5.4,0.6,1.4,.444,0.0,0.0,,0.6,1.4,.444,.444,0.5,1.4,.389,1.2,0.8,2.1,0.5,0.3,0.3,0.3,0.2,1.8,,jackstr02
448,Jeremy Sochan,22,2TM,PF,40,0,10.6,1.4,2.9,.491,0.2,1.0,.237,1.2,2.0,.615,.530,0.4,0.5,.700,0.8,1.5,2.3,0.9,0.4,0.2,0.5,1.4,3.4,,sochaje01
448,Jeremy Sochan,22,SAS,PF,28,0,12.8,1.7,3.5,.475,0.3,1.3,.257,1.4,2.3,.594,.520,0.4,0.6,.688,0.9,1.7,2.6,1.0,0.4,0.2,0.6,1.8,4.1,,sochaje01
448,Jeremy Sochan,22,NYK,PF,12,0,5.5,0.8,1.4,.588,0.0,0.3,.000,0.8,1.2,.714,.588,0.3,0.3,.750,0.4,1.2,1.6,0.5,0.4,0.1,0.2,0.4,1.9,,sochaje01
449,Dwight Powell,34,DAL,C,56,10,13.8,1.0,1.5,.663,0.0,0.1,.333,1.0,1.5,.675,.669,1.3,1.9,.689,1.4,2.4,3.8,1.0,0.5,0.3,0.6,1.9,3.4,,poweldw01
450,Jamison Battle,24,TOR,SF,55,2,9.0,1.2,2.5,.500,0.6,1.5,.422,0.6,1.0,.623,.629,0.1,0.2,.667,0.3,1.2,1.6,0.4,0.1,0.1,0.3,0.8,3.3,,battlja01
451,Jayson Kent,23,POR,SF,3,0,6.3,1.3,2.0,.667,0.3,1.0,.333,1.0,1.0,1.000,.750,0.3,0.3,1.000,0.0,1.3,1.3,0.0,0.3,0.3,0.0,0.3,3.3,,kentja01
452,Larry Nance Jr.,33,CLE,PF,30,2,11.9,1.3,3.3,.388,0.6,1.8,.358,0.6,1.5,.422,.485,0.1,0.2,.571,0.8,1.7,2.5,0.9,0.5,0.1,0.5,1.6,3.3,,nancela02
453,Sean Pedulla,23,LAC,PG,4,0,5.8,1.3,3.3,.385,0.8,2.3,.333,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.8,3.3,,pedulse01
454,Isaiah Stevens,25,SAC,PG,3,0,14.3,1.0,2.3,.429,0.0,0.3,.000,1.0,2.0,.500,.429,1.3,1.3,1.000,0.7,0.3,1.0,3.3,1.7,0.0,0.7,0.7,3.3,,steveis01
455,Drew Timme,25,LAL,PF,22,0,8.4,1.4,2.3,.588,0.4,0.9,.421,1.0,1.5,.688,.667,0.2,0.3,.571,0.4,0.9,1.3,0.8,0.2,0.0,0.3,0.7,3.3,,timmedr01
456,James Wiseman,24,IND,C,4,1,14.5,1.5,2.5,.600,0.0,0.0,,1.5,2.5,.600,.600,0.3,0.5,.500,1.3,0.8,2.0,0.8,0.0,0.3,1.3,2.5,3.3,,wisemja01
457,Riley Minix,25,2TM,SF,6,0,3.8,1.3,2.0,.667,0.5,1.0,.500,0.8,1.0,.833,.792,0.0,0.0,,0.3,0.5,0.8,0.7,0.2,0.0,0.3,0.5,3.2,,minixri01
457,Riley Minix,25,SAS,SF,3,0,2.7,1.3,2.0,.667,0.3,1.0,.333,1.0,1.0,1.000,.750,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.3,3.0,,minixri01
457,Riley Minix,25,CLE,SF,3,0,5.0,1.3,2.0,.667,0.7,1.0,.667,0.7,1.0,.667,.833,0.0,0.0,,0.3,0.7,1.0,1.0,0.0,0.0,0.7,0.7,3.3,,minixri01
458,Kelly Olynyk,34,SAS,C,41,0,8.7,1.1,2.3,.495,0.3,1.1,.261,0.9,1.2,.714,.558,0.7,0.9,.711,0.6,1.2,1.8,1.2,0.4,0.1,0.6,1.0,3.2,,olynyke01
459,Nikola Topić,20,OKC,PG,5,0,10.6,1.4,3.2,.438,0.4,1.0,.400,1.0,2.2,.455,.500,0.0,0.0,,0.4,1.2,1.6,2.0,0.0,0.0,2.2,0.8,3.2,,topicni01
460,Cam Christie,20,LAC,SG,49,0,9.3,1.0,2.7,.392,0.2,1.0,.245,0.8,1.7,.481,.438,0.8,1.0,.760,0.4,1.1,1.5,0.6,0.3,0.1,0.4,0.4,3.1,,chrisca02
461,Dorian Finney-Smith,32,HOU,PF,35,1,16.9,1.1,3.4,.317,0.7,2.7,.269,0.4,0.8,.481,.421,0.2,0.2,.857,0.9,1.6,2.5,1.0,0.4,0.2,0.6,1.7,3.1,,finnedo01
462,Miles Kelly,23,DAL,PG,14,0,9.6,1.1,3.1,.364,0.7,2.4,.303,0.4,0.8,.545,.477,0.1,0.1,1.000,0.4,1.4,1.7,0.9,0.3,0.1,0.4,0.9,3.1,,kellymi02
463,Mark Sears,23,MIL,PG,7,0,3.7,0.9,1.9,.462,0.6,1.1,.500,0.3,0.7,.400,.615,0.9,1.1,.750,0.1,0.1,0.3,0.3,0.0,0.0,0.6,0.6,3.1,,searsma01
464,Yuki Kawamura,24,CHI,PG,11,0,11.0,0.7,2.2,.333,0.5,1.5,.313,0.3,0.7,.375,.438,1.1,1.2,.923,0.5,1.5,1.9,2.9,0.5,0.0,1.0,0.7,3.0,,kawamyu01
465,Chris Livingston,22,CLE,SF,3,0,5.7,1.3,2.3,.571,0.0,1.0,.000,1.3,1.3,1.000,.571,0.3,0.3,1.000,0.0,1.0,1.0,0.3,0.3,0.0,0.0,1.3,3.0,,livinch01
466,Emanuel Miller,25,CHI,PF,5,0,6.6,1.2,2.6,.462,0.4,1.2,.333,0.8,1.4,.571,.538,0.2,0.4,.500,0.2,0.4,0.6,0.8,0.4,0.0,0.0,0.4,3.0,,milleem01
467,Monte Morris,30,IND,PG,6,0,10.8,1.2,3.3,.350,0.3,1.3,.250,0.8,2.0,.417,.400,0.3,0.7,.500,0.2,1.0,1.2,1.5,0.2,0.2,0.3,0.5,3.0,,morrimo01
468,Antonio Reeves,25,CHO,SG,9,0,7.3,1.1,2.2,.500,0.8,1.4,.538,0.3,0.8,.429,.675,0.0,0.0,,0.2,0.7,0.9,0.2,0.1,0.0,0.1,0.3,3.0,,reevean01
469,Amir Coffey,28,2TM,SG,43,2,10.2,1.0,2.2,.484,0.3,1.0,.317,0.7,1.2,.615,.554,0.5,0.7,.786,0.4,0.8,1.2,0.6,0.2,0.1,0.1,0.7,2.9,,coffeam01
469,Amir Coffey,28,MIL,SG,30,2,8.8,0.9,1.8,.473,0.2,0.8,.280,0.6,1.0,.633,.536,0.4,0.5,.867,0.2,0.7,0.9,0.4,0.1,0.1,0.1,0.5,2.4,,coffeam01
469,Amir Coffey,28,PHO,SG,13,0,13.2,1.5,2.9,.500,0.5,1.2,.375,1.0,1.7,.591,.579,0.7,1.0,.692,0.9,1.1,2.0,1.0,0.4,0.2,0.2,1.1,4.1,,coffeam01
470,Tyus Jones,29,3TM,PG,64,10,14.6,1.1,3.2,.346,0.6,2.0,.277,0.5,1.2,.467,.434,0.1,0.1,.778,0.2,0.9,1.0,2.4,0.6,0.0,0.3,0.5,2.9,,jonesty01
470,Tyus Jones,29,ORL,PG,48,8,15.7,1.1,3.3,.342,0.6,2.1,.294,0.5,1.2,.429,.437,0.1,0.1,1.000,0.2,0.9,1.1,2.4,0.7,0.1,0.3,0.5,3.0,,jonesty01
470,Tyus Jones,29,DAL,PG,8,2,16.6,1.6,4.3,.382,0.5,2.4,.211,1.1,1.9,.600,.441,0.1,0.3,.500,0.1,1.0,1.1,3.8,0.4,0.0,0.6,0.6,3.9,,jonesty01
470,Tyus Jones,29,DEN,PG,8,0,5.8,0.5,1.6,.308,0.3,1.1,.222,0.3,0.5,.500,.385,0.0,0.1,.000,0.0,0.6,0.6,0.8,0.1,0.0,0.4,0.0,1.3,,jonesty01
471,Joan Beringer,19,MIN,PF,35,1,6.5,1.3,2.0,.652,0.0,0.0,,1.3,2.0,.652,.652,0.4,0.6,.619,0.9,0.9,1.9,0.2,0.1,0.4,0.2,1.1,2.9,,berinjo01
472,Kobe Bufkin,22,LAL,SG,12,1,7.8,1.0,3.3,.300,0.3,1.8,.143,0.8,1.6,.474,.338,0.7,0.7,1.000,0.1,0.7,0.8,0.4,0.2,0.3,0.3,0.6,2.9,,bufkiko01
473,David Jones García,24,SAS,SF,11,0,6.2,1.2,2.3,.520,0.3,0.5,.600,0.9,1.8,.500,.580,0.3,0.5,.500,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,2.9,,jonesda06
474,Chris Paul,40,LAC,PG,16,0,14.3,1.1,3.5,.321,0.6,1.9,.333,0.5,1.6,.308,.411,0.1,0.1,.500,0.4,1.4,1.8,3.3,0.7,0.0,1.0,1.4,2.9,,paulch01
475,Duop Reath,29,POR,C,32,0,8.1,1.0,2.3,.446,0.7,1.7,.418,0.3,0.6,.526,.601,0.2,0.2,.833,0.3,0.9,1.2,0.3,0.2,0.3,0.2,0.9,2.9,,reathdu01
476,Trey Alexander,22,NOP,SG,5,0,8.4,1.2,1.8,.667,0.4,0.6,.667,0.8,1.2,.667,.778,0.0,0.0,,0.0,0.8,0.8,1.0,0.2,0.2,0.2,0.8,2.8,,alexatr01
477,Koby Brea,23,PHO,SG,8,0,4.6,0.9,2.0,.438,0.8,1.6,.462,0.1,0.4,.333,.625,0.3,0.3,1.000,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.5,2.8,,breako01
478,Pat Connaughton,33,CHO,SG,36,0,7.3,1.0,2.2,.449,0.5,1.3,.396,0.4,0.8,.533,.571,0.3,0.5,.667,0.3,1.1,1.5,0.5,0.3,0.0,0.3,0.2,2.8,,connapa01
479,Khaman Maluach,19,PHO,C,40,0,8.4,1.1,2.0,.543,0.1,0.4,.214,1.0,1.7,.612,.562,0.5,0.7,.724,1.0,1.6,2.6,0.2,0.1,0.7,0.6,0.9,2.8,,maluakh01
480,AJ Johnson,21,2TM,SG,42,0,8.8,1.0,3.2,.316,0.2,1.1,.200,0.8,2.1,.375,.350,0.5,0.5,.826,0.2,0.9,1.1,0.9,0.2,0.0,0.6,0.5,2.7,,johnsaj01
480,AJ Johnson,21,WAS,SG,25,0,8.6,1.1,3.3,.325,0.3,1.0,.280,0.8,2.3,.345,.367,0.4,0.5,.750,0.3,0.9,1.2,0.9,0.3,0.0,0.7,0.6,2.8,,johnsaj01
480,AJ Johnson,21,DAL,SG,17,0,9.1,0.9,2.9,.300,0.1,1.2,.100,0.8,1.8,.433,.320,0.6,0.6,.909,0.1,0.9,0.9,0.9,0.1,0.1,0.4,0.4,2.5,,johnsaj01
481,Kevon Looney,29,NOP,C,19,6,13.4,1.2,2.8,.426,0.1,0.5,.111,1.2,2.4,.489,.435,0.3,0.4,.625,2.3,2.9,5.3,1.3,0.3,0.5,0.4,1.7,2.7,,looneke01
482,Alijah Martin,24,TOR,SG,18,0,6.6,0.8,2.3,.366,0.2,1.0,.222,0.6,1.3,.478,.415,0.8,1.0,.778,0.5,0.6,1.1,0.5,0.4,0.2,0.3,0.6,2.7,,martial01
483,Norchad Omier,24,LAC,PF,3,0,4.7,1.3,1.7,.800,0.0,0.3,.000,1.3,1.3,1.000,.800,0.0,0.0,,0.7,0.7,1.3,0.3,0.3,0.0,0.0,0.7,2.7,,omierno01
484,Christian Koloko,25,3TM,C,25,4,13.2,1.1,2.7,.418,0.0,0.3,.143,1.1,2.4,.450,.425,0.3,0.4,.700,1.1,1.8,2.9,0.7,0.6,0.9,0.5,1.7,2.6,,kolokch01
484,Christian Koloko,25,LAL,C,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,,kolokch01
484,Christian Koloko,25,MEM,C,11,2,17.7,1.3,3.2,.400,0.0,0.1,.000,1.3,3.1,.412,.400,0.1,0.4,.250,1.7,2.3,4.0,0.9,0.9,1.2,0.6,1.8,2.6,,kolokch01
484,Christian Koloko,25,ATL,C,12,2,10.8,1.2,2.7,.438,0.1,0.5,.167,1.1,2.2,.500,.453,0.5,0.5,1.000,0.8,1.5,2.3,0.6,0.3,0.8,0.5,1.8,2.9,,kolokch01
485,Julian Phillips,22,2TM,SF,44,2,8.4,1.0,2.3,.424,0.4,1.2,.315,0.6,1.0,.556,.510,0.3,0.4,.882,0.5,0.5,1.0,0.2,0.5,0.2,0.2,0.8,2.6,,phillju01
485,Julian Phillips,22,CHI,SF,35,2,9.5,1.1,2.5,.420,0.5,1.4,.327,0.6,1.1,.538,.511,0.3,0.3,.818,0.6,0.6,1.3,0.2,0.5,0.2,0.2,0.9,2.8,,phillju01
485,Julian Phillips,22,MIN,SF,9,0,4.1,0.6,1.2,.455,0.1,0.6,.200,0.4,0.7,.667,.500,0.7,0.7,1.000,0.0,0.2,0.2,0.2,0.4,0.1,0.1,0.1,1.9,,phillju01
486,Gary Harris,31,MIL,SG,45,2,13.7,0.9,2.0,.451,0.6,1.4,.419,0.3,0.6,.517,.593,0.2,0.2,.889,0.3,1.0,1.2,1.0,0.6,0.2,0.4,1.1,2.6,,harriga01
487,Jonathan Isaac,28,ORL,PF,52,0,10.0,0.9,2.1,.422,0.1,0.7,.184,0.8,1.4,.549,.454,0.7,1.1,.603,0.8,1.7,2.5,0.4,0.4,0.6,0.3,0.8,2.6,,isaacjo01
488,E.J. Liddell,25,BRK,PF,20,0,9.7,1.1,2.8,.382,0.4,1.6,.219,0.7,1.2,.609,.445,0.2,0.3,.600,0.4,1.5,1.9,0.8,0.2,0.4,0.4,1.4,2.6,,liddeej01
489,Jae'Sean Tate,30,HOU,SF,39,0,8.4,1.1,2.2,.512,0.2,0.7,.310,0.9,1.5,.614,.564,0.2,0.2,.667,0.6,0.7,1.3,0.4,0.2,0.1,0.3,1.1,2.6,,tateja01
490,Mo Bamba,27,2TM,C,4,0,11.0,1.3,2.8,.455,0.0,0.0,,1.3,2.8,.455,.455,0.0,0.0,,2.5,3.0,5.5,0.3,0.0,0.8,0.5,1.5,2.5,,bambamo01
490,Mo Bamba,27,TOR,C,2,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,,bambamo01
490,Mo Bamba,27,UTA,C,2,0,19.0,2.5,4.5,.556,0.0,0.0,,2.5,4.5,.556,.556,0.0,0.0,,4.5,5.5,10.0,0.5,0.0,1.0,1.0,2.0,5.0,,bambamo01
491,Chaz Lanier,24,DET,SG,29,0,7.9,0.9,2.7,.325,0.6,2.0,.305,0.2,0.6,.389,.442,0.2,0.2,.833,0.2,0.4,0.7,0.5,0.2,0.0,0.1,0.4,2.5,,laniech01
492,Malevy Leons,26,GSW,SF,20,1,8.7,1.0,2.3,.435,0.2,0.7,.231,0.9,1.7,.515,.467,0.3,0.4,.750,1.1,0.8,1.8,0.5,0.4,0.4,0.3,1.0,2.5,,leonsma01
493,Tyler Smith,21,DAL,PF,6,0,8.5,1.0,3.0,.333,0.3,2.0,.167,0.7,1.0,.667,.389,0.2,0.3,.500,0.8,1.5,2.3,0.0,0.3,0.0,0.5,0.7,2.5,,smithty02
494,Charles Bassey,25,3TM,C,7,0,6.7,1.0,1.9,.538,0.0,0.0,,1.0,1.9,.538,.538,0.4,1.0,.429,1.4,1.4,2.9,0.3,0.3,0.6,0.3,0.9,2.4,,bassech01
494,Charles Bassey,25,MEM,C,2,0,15.5,1.5,4.0,.375,0.0,0.0,,1.5,4.0,.375,.375,0.5,1.5,.333,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,3.5,,bassech01
494,Charles Bassey,25,PHI,C,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,bassech01
494,Charles Bassey,25,BOS,C,4,0,2.8,0.8,1.0,.750,0.0,0.0,,0.8,1.0,.750,.750,0.5,1.0,.500,0.8,0.5,1.3,0.0,0.3,0.5,0.3,0.3,2.0,,bassech01
